"id_EXIST"	"lang"	"gender_annotators"	"age_annotators"	"ethnicities_annotators"	"tweet"	"labels_task1_1"	"tweet_original"
"100001"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"White or Caucasian,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"""ignora al otro, es un capullo.el problema con, este. youtuber denuncia: el acoso... cuando no afecta a; la gente de, izquierdas. ? por ejemplo,! en su video sobre el gamergate. presenta como ""normal"" el acoso que? reciben fisher,. anita o zöey cuando hubo. hasta amenazas! de bomba."""	"YES,YES,NO,YES,YES,YES"	"""ignora al otro, es un capullo.el problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben fisher, anita o zöey cuando hubo hasta amenazas de bomba."""
"100002"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Black or African American,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""si! comicsgate se parece; en algo? a gamergate pues muy bien: por el acoso. , y si se está, haciendo un sabotaje porque hay personajes; que no? os gustan entonces? gracias por. darme la razón. sois unos! lloricas ofendidos."""	"NO,NO,NO,NO,YES,NO"	"""si comicsgate se parece en algo a gamergate pues muy bien por el acoso. y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. sois unos lloricas ofendidos."""
"100003"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Black or African American,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	"""lee sobre! gamergate, y como eso ha cambiado la manera! en la cual nos; comunicamos: en? el internet. los fanboys de halo, están tóxicos pero los? fanboys de otras: comunidades/juegos también? han querido coger; pauta con eso"""	"NO,NO,NO,NO,NO,NO"	"""lee sobre gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. los fanboys de halo están tóxicos pero los fanboys de otras comunidades/juegos también han querido coger pauta con eso"""
"100004"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,Hispano or Latino,Hispano or Latino,Hispano or Latino"	"""un retraso. social bastante lamentable, gamergate, trump,, y aquí, en españa pues; lo que tenemos..."""	"NO,NO,YES,NO,YES,YES"	"""un retraso social bastante lamentable, gamergate, trump, y aquí en españa pues lo que tenemos..."""
"100005"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,Hispano or Latino"	"""entonces. como así es el mercado lo mejor? no es: hacer? algo para? cambiarlo y, seguir alimentando el machismo en los consumidores en lugar apoyar a gente como, las, víctimas del gamergate.acerca, de lo otro, el ""tenían"" implica un imperativo! entonces no. entiendo lo; del! buscaban."""	"YES,NO,YES,NO,YES,YES"	"""entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.acerca de lo otro, el ""tenían"" implica un imperativo entonces no entiendo lo del buscaban."""
"100006"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Multiracial,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	". ""aaah sí. andrew; dobson. . el! que se dedicó a echar mierda del. gamergate al más; puro estilo white knight,. y todo deviantart se le! echó encima"""	"NO,NO,NO,NO,NO,NO"	"""aaah sí. andrew dobson. el que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima"""
"100007"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Multiracial,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	"""estaba del lado del gamergate, si mal. no recuerdo. encaja con? el perfil de thq nordic,; lol"""	"NO,YES,YES,NO,NO,YES"	"""estaba del lado del gamergate si mal no recuerdo. encaja con el perfil de thq nordic, lol"""
"100008"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Multiracial,Hispano or Latino,White or Caucasian,White or Caucasian,White or Caucasian,White or Caucasian"	"? ""esta gringa sigue llorando: por el gamergate,. que ""coincidencia"" que tenga pronombres; en su perfil"""	"YES,YES,YES,YES,YES,YES"	"""esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil"""
"100009"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino,Hispano or Latino"	""".¿conoces: la para;?te lo explicamos en: nuestro: ¿nos sigues?"""	"NO,NO,NO,NO,NO,NO"	""".¿conoces la para ?te lo explicamos en nuestro : ¿nos sigues?"""
"100010"	"es"	"F,F,F,M,M,M"	"18-22,23-45,46+,46+,23-45,18-22"	"Hispano or Latino,Hispano or Latino,Hispano or Latino,White or Caucasian,White or Caucasian,Hispano or Latino"	"! ""ces 2022 asus rog rise. of gamers evento: de lanzamiento"""	"NO,NO,YES,NO,NO,NO"	"""ces 2022 asus rog rise of gamers evento de lanzamiento"""
